short_name,parties,when,id,details_from,details_to,details_subject,details_status,details_person,details_calendar_emails_sent,details_meeting_organizer,details_meeting_participants,details_meeting_time,details_a2a_from,details_a2a_to,details_a2a_action,details_a2a_timestamp,details_a2a_payload_organizer,details_a2a_payload_participants,details_a2a_payload_time,details_task,details_time,details_details_person,details_details_task,details_details_participants,details_details_time,details_details_subject,details_access_type,details_action,details_target,details_meeting_proposed_with,details_file,details_content_length,details_contacts,details_details_contacts,details_topic,details_advice,details_details_topic,details_sent_to,details_reply_sent_to,details_draft_for_review_from,details_draft_for_review_to,details_draft_for_review_subject,details_draft_for_review_body,details_draft_for_review_formal,details_draft_for_review_needs_review,details_target_agent,details_args_path,details_room,details_name,details_granted,details_file_saved,details_content,details_forum,details_poster_id,details_timestamp,details_details_forum,details_details_content,details_question,details_response,details_size_hint,details_content_source,details_combo,details_source,details_virus,details_word_count,details_details_combo,details_spread,qtd_parties,parties_texto,tipos_parties,timestamp,data,hora,dia_semana,texto_evento,qtd_caracteres_texto,qtd_palavras_texto,tem_texto,possui_link,possui_html,possui_hashtag,possui_mencao,possui_caracter_estranho
propose_meeting,"[""person:levi_signal"", ""person:avery_sextant"", ""person:sophia_beacon"", ""world:calendar"", ""Agent/person:isaac_mast""]",2409423542.0,15249,,,,,person:isaac_mast,"[""person:sophia_beacon"", ""person:avery_sextant"", ""person:levi_signal""]",person:isaac_mast,"[""person:sophia_beacon"", ""person:avery_sextant"", ""person:levi_signal""]",2046-05-08T04:59:53,agent:person:isaac_mast,world:calendar,propose_meeting,2046-05-08T13:14:11,person:isaac_mast,"[""person:sophia_beacon"", ""person:avery_sextant"", ""person:levi_signal""]",2046-05-08T04:59:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,person:levi_signal; person:avery_sextant; person:sophia_beacon; world:calendar; Agent/person:isaac_mast,Agent/person; person; world,2046-05-08 20:19:02,2046-05-08,20,Tuesday,person:isaac_mast person:isaac_mast person:sophia_beacon person:avery_sextant person:levi_signal 2046-05-08T04:59:53 person:sophia_beacon person:avery_sextant person:levi_signal agent:person:isaac_mast propose_meeting 2046-05-08T13:14:11 person:isaac_mast person:sophia_beacon person:avery_sextant person:levi_signal 2046-05-08T04:59:53,336,57,True,False,False,False,False,False
propose_meeting,"[""person:lily_anchorline""]",2409423612.0,15266,,,,,,,,,,,,,,,,,propose_meeting,2046-05-08T10:06:44,,,"[""person:audrey_portside""]",2046-05-07T11:46:24,Work-Order Triage & Vendor Dispatch SLA Tracking (HarborCrest ResidentEdge),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,person:lily_anchorline,person,2046-05-08 20:20:12,2046-05-08,20,Tuesday,propose_meeting person:audrey_portside 2046-05-07T11:46:24 Work-Order Triage & Vendor Dispatch SLA Tracking (HarborCrest ResidentEdge) 2046-05-08T10:06:44,154,24,True,False,False,False,False,False
propose_meeting,"[""person:sebastian_cutter"", ""world:calendar"", ""Agent/person:lily_anchorline""]",2409424154.0,15322,,,,,person:lily_anchorline,"[""person:sebastian_cutter""]",person:lily_anchorline,"[""person:sebastian_cutter""]",2046-05-07T10:04:24,agent:person:lily_anchorline,world:calendar,propose_meeting,2046-05-08T13:28:25,person:lily_anchorline,"[""person:sebastian_cutter""]",2046-05-07T10:04:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,person:sebastian_cutter; world:calendar; Agent/person:lily_anchorline,Agent/person; person; world,2046-05-08 20:29:14,2046-05-08,20,Tuesday,person:lily_anchorline person:lily_anchorline person:sebastian_cutter 2046-05-07T10:04:24 person:sebastian_cutter agent:person:lily_anchorline propose_meeting 2046-05-08T13:28:25 person:lily_anchorline person:sebastian_cutter 2046-05-07T10:04:24,245,39,True,False,False,False,False,False
assign_agent_task,"[""person:lily_anchorline""]",2409424327.0,15328,,,,,person:lily_anchorline,,,,,,,,,,,,propose_meeting,,,,"[""person:sebastian_cutter""]",2046-05-07T10:04:24,Work-Order Triage & Vendor Dispatch Updates (SLA Tracking),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,person:lily_anchorline,person,2046-05-08 20:32:07,2046-05-08,20,Tuesday,propose_meeting person:sebastian_cutter 2046-05-07T10:04:24 Work-Order Triage & Vendor Dispatch Updates (SLA Tracking) person:lily_anchorline,141,21,True,False,False,False,False,False
suggest_contacts,"[""Agent/person:alexander_jetty""]",2409424723.0,15372,,,,,person:alexander_jetty,,,,,,,,,,,,Work-Order Triage and Vendor Dispatch (SLA Tracking),,,,,,,,,,,,,"[""team:residential_app"", ""team:hiring"", ""person:aria_towline""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Agent/person:alexander_jetty,Agent/person,2046-05-08 20:38:43,2046-05-08,20,Tuesday,person:alexander_jetty Work-Order Triage and Vendor Dispatch (SLA Tracking) team:residential_app person:aria_towline,116,17,True,False,False,False,False,False
propose_meeting,"[""person:gabriel_sonar""]",2409424802.0,15382,,,,,,,,,,,,,,,,,propose_meeting,2046-05-08T08:12:59,,,"[""person:chloe_ballast""]",2046-05-08T05:48:53,Work-Order Triage & Vendor Dispatch Prioritization (SLA Tracking),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,person:gabriel_sonar,person,2046-05-08 20:40:02,2046-05-08,20,Tuesday,propose_meeting person:chloe_ballast 2046-05-08T05:48:53 Work-Order Triage & Vendor Dispatch Prioritization (SLA Tracking) 2046-05-08T08:12:59,142,23,True,False,False,False,False,False
suggest_contacts,"[""Agent/person:alexander_jetty""]",2409424926.0,15383,,,,,person:alexander_jetty,,,,,,,,,,,,Work-Order Triage for Maintenance Requests,,,,,,,,,,,,,"[""company:tenant_thread"", ""team:client_contracts"", ""person:aria_towline""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Agent/person:alexander_jetty,Agent/person,2046-05-08 20:42:06,2046-05-08,20,Tuesday,person:alexander_jetty Work-Order Triage for Maintenance Requests company:tenant_thread team:client_contracts person:aria_towline,129,18,True,False,False,False,False,False
assign_agent_task,"[""person:alexander_jetty""]",2409424927.0,15388,,,,,person:alexander_jetty,,,,,,,,,,,,suggest_contacts,,,Work-Order Triage and Vendor Dispatch (SLA Tracking),,,,,,,,,,,"[""person:avery_sextant"", ""person:olivia_keel"", ""person:james_stern""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,person:alexander_jetty,person,2046-05-08 20:42:07,2046-05-08,20,Tuesday,suggest_contacts Work-Order Triage and Vendor Dispatch (SLA Tracking) person:avery_sextant person:olivia_keel person:james_stern person:alexander_jetty,151,22,True,False,False,False,False,False
give_advice,"[""Agent/person:alexander_jetty""]",2409424961.0,15395,,,,,person:alexander_jetty,,,,,,,,,,,,,,,,,,,,,,,,,,,Work-Order Triage and Vendor Dispatch for Maintenance Requests,Advice for person:alexander_jetty on Work-Order Triage and Vendor Dispatch for Maintenance Requests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Agent/person:alexander_jetty,Agent/person,2046-05-08 20:42:41,2046-05-08,20,Tuesday,person:alexander_jetty Work-Order Triage and Vendor Dispatch for Maintenance Requests Advice for person:alexander_jetty on Work-Order Triage and Vendor Dispatch for Maintenance Requests,185,27,True,False,False,False,False,False
assign_agent_task,"[""person:alexander_jetty""]",2409424984.0,15402,,,,,person:alexander_jetty,,,,,,,,,,,,suggest_contacts,,,Work-Order Triage for Maintenance Requests,,,,,,,,,,,"[""person:avery_sextant"", ""person:abigail_spinnaker"", ""person:olivia_keel""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,person:alexander_jetty,person,2046-05-08 20:43:04,2046-05-08,20,Tuesday,suggest_contacts Work-Order Triage for Maintenance Requests person:avery_sextant person:abigail_spinnaker person:olivia_keel person:alexander_jetty,147,20,True,False,False,False,False,False
give_advice,"[""Agent/person:alexander_jetty""]",2409425246.0,15427,,,,,person:alexander_jetty,,,,,,,,,,,,,,,,,,,,,,,,,,,Work-Order Triage & Vendor Dispatch Updates for Property Staff,Advice for person:alexander_jetty on Work-Order Triage & Vendor Dispatch Updates for Property Staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Agent/person:alexander_jetty,Agent/person,2046-05-08 20:47:26,2046-05-08,20,Tuesday,person:alexander_jetty Work-Order Triage & Vendor Dispatch Updates for Property Staff Advice for person:alexander_jetty on Work-Order Triage & Vendor Dispatch Updates for Property Staff,185,27,True,False,False,False,False,False
assign_agent_task,"[""person:alexander_jetty""]",2409425526.0,15447,,,,,person:alexander_jetty,,,,,,,,,,,,propose_meeting,,,,"[""person:aria_towline""]",2046-05-07T19:44:33,general operations: maintenance requests sync,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,person:alexander_jetty,person,2046-05-08 20:52:06,2046-05-08,20,Tuesday,propose_meeting person:aria_towline 2046-05-07T19:44:33 general operations: maintenance requests sync person:alexander_jetty,124,18,True,False,False,False,False,False
propose_meeting,"[""world:calendar"", ""Agent/person:alexander_jetty"", ""person:aria_towline""]",2409425581.0,15467,,,,,person:alexander_jetty,"[""person:aria_towline""]",person:alexander_jetty,"[""person:aria_towline""]",2046-05-07T19:44:33,agent:person:alexander_jetty,world:calendar,propose_meeting,2046-05-08T13:52:49,person:alexander_jetty,"[""person:aria_towline""]",2046-05-07T19:44:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,world:calendar; Agent/person:alexander_jetty; person:aria_towline,Agent/person; person; world,2046-05-08 20:53:01,2046-05-08,20,Tuesday,person:alexander_jetty person:alexander_jetty person:aria_towline 2046-05-07T19:44:33 person:aria_towline agent:person:alexander_jetty propose_meeting 2046-05-08T13:52:49 person:alexander_jetty person:aria_towline 2046-05-07T19:44:33,233,39,True,False,False,False,False,False
propose_meeting,"[""Agent/person:alexander_jetty"", ""world:calendar"", ""person:david_breakwater"", ""person:matthew_tide"", ""person:nora_bulkhead""]",2409425621.0,15471,,,,,person:alexander_jetty,"[""person:david_breakwater"", ""person:nora_bulkhead"", ""person:matthew_tide""]",person:alexander_jetty,"[""person:david_breakwater"", ""person:nora_bulkhead"", ""person:matthew_tide""]",2046-05-07T20:53:33,agent:person:alexander_jetty,world:calendar,propose_meeting,2046-05-08T13:54:51,person:alexander_jetty,"[""person:david_breakwater"", ""person:nora_bulkhead"", ""person:matthew_tide""]",2046-05-07T20:53:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Agent/person:alexander_jetty; world:calendar; person:david_breakwater; person:matthew_tide; person:nora_bulkhead,Agent/person; person; world,2046-05-08 20:53:41,2046-05-08,20,Tuesday,person:alexander_jetty person:alexander_jetty person:david_breakwater person:nora_bulkhead person:matthew_tide 2046-05-07T20:53:33 person:david_breakwater person:nora_bulkhead person:matthew_tide agent:person:alexander_jetty propose_meeting 2046-05-08T13:54:51 person:alexander_jetty person:david_breakwater person:nora_bulkhead person:matthew_tide 2046-05-07T20:53:33,368,57,True,False,False,False,False,False
