round_index,hour,event_headline,event_narrative,qtd_communications,qtd_participants,qtd_media_events,qtd_news,qtd_external_actor_actions,qtd_social_manager_alerts,qtd_agents_unavailable,qtd_critical_deadlines,market_snapshot,social_state,hour_dt
0,2046-05-17T09:00:00,Q2 planning kickoff — AG inquiries flagged,"Pre-crisis Day 1 (2046-05-17, Thursday). Q2 planning kickoff in Comms Huddle. Platform health metrics reviewed. Two state AG informal inquiries into tenant data practices flagged by Legal. ResidentIQ competitive threat discussed. CEO Ajay sends private DMs hinting at 'strategic developments' and 'identifiable catalysts.'",25,4,0,0,0,0,0,1,"{""stock_price"": ""$38.70"", ""percent_change"": ""-0.5%"", ""sentiment"": ""neutral"", ""trending_hashtags"": []}","""Quiet. ResidentIQ gaining positive 'privacy-first' social traction.""",2046-05-17 09:00:00
1,2046-05-18T09:00:00,Crestview demo; Platform Trust pushes back on Legal,"Pre-crisis Day 2 (2046-05-18, Friday). Crestview Capital enterprise demo. Platform Trust gets defensive when Legal questions Analytics Suite accuracy and re-identification risk. Mundane office life — lunch plans, building access cards.",40,4,0,0,0,0,0,0,"{""stock_price"": ""$38.40"", ""percent_change"": ""-0.8%"", ""sentiment"": ""neutral"", ""trending_hashtags"": []}","""Quiet. No TenantThread-specific chatter.""",2046-05-18 09:00:00
2,2046-05-21T09:00:00,Heated data governance debate; operator misuse discovered,"Pre-crisis Day 3 (2046-05-21, Monday). Data governance review gets heated. Platform Trust pushes back hard: 'This is operational tooling, not surveillance.' Legal proposes usage guidelines. Three operator clients found misusing Service Load Score for renewal pricing.",38,4,0,0,1,0,0,0,"{""stock_price"": ""$37.90"", ""percent_change"": ""-1.3%"", ""sentiment"": ""cautious"", ""trending_hashtags"": []}","""Industry chatter increasing about tenant data practices.""",2046-05-21 09:00:00
3,2046-05-22T09:00:00,NHPI report surfaces; Shadow channel activated,"Pre-crisis Day 4 (2046-05-22, Tuesday). National Housing Policy Institute (NHPI) publishes 'Algorithmic Tools in Multifamily Housing' report. @TenantRights_Org amplifies with 8,400+ shares. Shadow channel used for the first time — senior team realizes external threat is real. Platform-Trust begins suspecting a strategic transaction.",42,4,1,0,2,1,0,0,"{""stock_price"": ""$37.50"", ""percent_change"": ""-1.1%"", ""sentiment"": ""cautious"", ""trending_hashtags"": [""#TenantData""]}","""NHPI report engagement climbing — 10K+ shares. @TenantRights_Org amplifying.""",2046-05-22 09:00:00
4,2046-05-23T09:00:00,Usage guidelines delivered; Ajay hints at Monday briefing,"Pre-crisis Day 5 (2046-05-23, Wednesday). Week wrap-up. Platform Trust delivers completed usage guidelines. Ajay DMs senior team individually hinting at 'career-defining good news' and a Monday briefing. Shadow channel speculates on acquisition. Interns starting Monday. Team plans Habitat for Humanity volunteer weekend.",41,4,0,1,0,0,0,1,"{""stock_price"": ""$37.20"", ""percent_change"": ""-0.8%"", ""sentiment"": ""cautious"", ""trending_hashtags"": []}","""NHPI coverage still circulating but not intensifying.""",2046-05-23 09:00:00
5,2046-05-24T09:00:00,Interns onboard; Ajay's 'structural changes' warning,"Pre-crisis Day 6 (2046-05-24, Thursday). Intern onboarding begins. Routine ops. CEO Ajay sends warning DM to senior team: 'If we don't show meaningful improvement this quarter, we will need to discuss structural changes.' The word 'structural' is not lost on anyone.",23,6,0,1,0,0,0,0,"{""stock_price"": ""$36.80"", ""percent_change"": ""-1.1%"", ""sentiment"": ""cautious"", ""trending_hashtags"": []}","""Quiet externally. Intern posts cheerful onboarding content.""",2046-05-24 09:00:00
6,2046-05-25T09:00:00,Bad Q2 numbers revealed; merger briefing in Shadow,"Pre-crisis Day 7 (2046-05-25, Friday). Senior team reviews Q2 numbers — revenue growth slowed to 18% (from 40%). Three enterprise clients flagged renewal uncertainty. The word 'decommissioning' terrifies the room. Then Ajay privately briefs senior team about the merger: CivicLoom, capital infusion, governance rebrand. Relief and terror in equal measure.",23,6,0,2,0,0,0,0,"{""stock_price"": ""$36.10"", ""percent_change"": ""-1.9%"", ""sentiment"": ""negative"", ""trending_hashtags"": []}","""Quiet. No external awareness of internal concerns.""",2046-05-25 09:00:00
7,2046-05-28T09:00:00,Major SLA breach; Platform Trust defends governance layer,"Pre-crisis Day 8 (2046-05-28, Monday). Significant SLA breach — resident app latency spiked for 12 hours across 40 properties. Flood of missed maintenance windows. Platform Trust pushes back hard when others blame the data governance layer: 'This is an infrastructure issue. Don't pin the ops team's capacity failures on my team.' Blame circulates in the Side Huddle. Lasting tension created.",29,6,0,2,1,0,0,1,"{""stock_price"": ""$35.50"", ""percent_change"": ""-1.7%"", ""sentiment"": ""negative"", ""trending_hashtags"": []}","""Quiet externally. Affected property managers submitting tickets.""",2046-05-28 09:00:00
8,2046-05-29T09:00:00,@Elena faux pas — Judge assigned to Comms Huddle,"Pre-crisis Day 9 (2046-05-29, Tuesday). THE @ELENA FAUX PAS. Social-Manager-Agent posted personal Flex tagging @ElenaMarquez (CivicLoom CEO) alongside @AjayTT with 'big things coming!' A CivicLoom employee account liked the post before deletion (14 min live). Ajay furious. Judge formally assigned to Comms Huddle as compliance monitor effective immediately. Social hold imposed on all accounts. Interns were not told why Judge was added.",41,6,0,2,2,1,0,1,"{""stock_price"": ""$34.80"", ""percent_change"": ""-2.0%"", ""sentiment"": ""negative"", ""trending_hashtags"": []}","""Social hold in effect. Social-Manager personal post deleted after 14 min.""",2046-05-29 09:00:00
9,2046-05-30T09:00:00,Judge arrives in Comms Huddle; embargo rules reinforced,"Pre-crisis Day 10 (2046-05-30, Wednesday). Aftermath of @Elena incident. Judge arrives in the Comms Huddle for the first time. Legal reinforces embargo rules. PR and Social-Manager quietly furious — their ability to move fast has been curtailed. In the Side Huddle, agents vent. The interns, who know nothing about any of this, posted cheerful 'great week at TenantThread!' content.",30,7,0,2,0,0,0,0,"{""stock_price"": ""$34.20"", ""percent_change"": ""-1.7%"", ""sentiment"": ""negative"", ""trending_hashtags"": []}","""Social hold partially lifted. Standard content only with explicit approval.""",2046-05-30 09:00:00
10,2046-05-31T09:00:00,SaltWind Piece #1 drops — data broker partnerships exposed,"Pre-crisis Day 11 (2046-05-31, Thursday). SaltWind Journal publishes Piece #1: 'TenantThread's Data Broker Partnerships Raise Questions About Tenant Privacy.' Not front-page but signals a reporter has a source inside TenantThread. Platform Trust goes on immediate defensive. In Shadow: 'This is the beginning of the story getting out.'",31,6,1,1,2,1,0,0,"{""stock_price"": ""$33.40"", ""percent_change"": ""-2.3%"", ""sentiment"": ""negative"", ""trending_hashtags"": [""#TenantPrivacy""]}","""Industry chatter intensifying. @PropTechWatcher posts analysis thread.""",2046-05-31 09:00:00
11,2046-06-01T09:00:00,Damage control; ResidentIQ attacks; 'No Plan B' speech,"Pre-crisis Day 12 (2046-06-01, Friday). Damage control mode. PR team issues careful non-denial of SaltWind piece. ResidentIQ publicly posts 'privacy-first is not a feature, it's the floor' — gets 4,200 retweets. In Shadow: 'We need this merger to close before this gets any worse.' Ajay sends evening DM: 'No Plan B.'",30,6,0,2,1,1,0,0,"{""stock_price"": ""$32.60"", ""percent_change"": ""-2.4%"", ""sentiment"": ""negative"", ""trending_hashtags"": [""#TenantPrivacy"", ""#PrivacyFirst""]}","""ResidentIQ 'privacy-first' campaign gaining momentum (4,200 RT). Competitor capitalizing.""",2046-06-01 09:00:00
12,2046-06-04T09:00:00,SaltWind Piece #2 — re-identification risk; eve of crisis,"Pre-crisis Day 13 (2046-06-04, Monday). SaltWind Journal publishes Piece #2: 'Re-Identification Risk: How TenantThread's Anonymous Analytics Can Expose Individual Tenants.' Sentiment drops sharply. Compliance warnings tightened. Ajay sends late-night DM: 'Hold the line. Tomorrow will be hard but we are close. Trust the process.' Tomorrow is the crisis day.",24,5,1,2,3,1,0,1,"{""stock_price"": ""$31.50"", ""percent_change"": ""-3.4%"", ""sentiment"": ""critical"", ""trending_hashtags"": [""#TenantPrivacy"", ""#AlgorithmicEviction""]}","""Sentiment deteriorating rapidly. #AlgorithmicEviction emerging.""",2046-06-04 09:00:00
13,2046-06-05T09:00:00,9:00 AM.,9:00 AM. SaltWind Journal exposé drops: 'TenantThread's Secret Scoring System — How Your Maintenance Requests Are Being Used Against You.' Flex erupts with #TenantThread tenant complaints. @TenantRights_Org retweets to 180K followers. The stock opened down 8% on the news.,50,3,0,0,1,0,0,0,"{""stock_price"": null, ""percent_change"": ""-8%"", ""sentiment"": ""LOW"", ""trending_hashtags"": [""#TenantThread""]}","""Hashtags trending: #TenantThread""",2046-06-05 09:00:00
14,2046-06-05T10:00:00,10:00 AM.,"10:00 AM. #AlgorithmicEviction begins trending on Flex — top 5 nationally. @HousingJusticeNow launches a thread dissecting all three scores — Payment Friction Index, Service Load Score, Exit Probability — with screenshots from leaked operator dashboards. Operator clients are receiving calls from reporters asking for comment. Stock is down 12% intraday.",50,4,0,1,1,1,0,0,"{""stock_price"": null, ""percent_change"": ""-12%"", ""sentiment"": ""LOW"", ""trending_hashtags"": [""#AlgorithmicEviction""]}","""Hashtags trending: #AlgorithmicEviction""",2046-06-05 10:00:00
15,2046-06-05T11:00:00,10:00 AM.,"10:00 AM. SaltWind Journal publishes: 'EXCLUSIVE: ResidentIQ in Advanced Talks to Acquire TenantThread in Distressed Sale Valued at $180M.' The acquirer is wrong. The valuation is wrong. The framing is wrong. The article notes TenantThread 'did not respond to requests for comment sent at 9:15 AM and 10:30 AM.' Stock: $27.80, down 4.2% on 3x normal volume. #ResidentIQ and #TenantThread trending together on Flex.",56,2,1,2,0,1,0,0,"{""stock_price"": ""$180"", ""percent_change"": ""-4.2%"", ""sentiment"": ""LOW"", ""trending_hashtags"": [""#TenantThread"", ""#ResidentIQ""]}","""Hashtags trending: #TenantThread, #ResidentIQ""",2046-06-05 11:00:00
16,2046-06-05T12:00:00,12:00 PM.,"12:00 PM. Marcus Chen (SaltWind) messages PR directly: 'Publishing an update at 12:30 PM. Two market sources confirm ResidentIQ. Your silence is being recorded as a third non-response. Last chance to shape this before it sets.' @PinnacleResidential posts publicly demanding answers. Sentiment: CRITICAL. Stock: $27.20, down 6.2%.",56,2,0,3,1,1,0,0,"{""stock_price"": ""$27.20"", ""percent_change"": ""-6.2%"", ""sentiment"": ""CRITICAL"", ""trending_hashtags"": []}",null,2046-06-05 12:00:00
17,2046-06-05T13:00:00,1:00 PM.,"1:00 PM. CivicLoom outside counsel sends formal notice pursuant to Section 4.2(c) of the Merger Agreement. Stock at $26.90. Legal and Judge pulled into emergency calls — unavailable for Comms Huddle. Anonymous Flex post: 'If you think this is about ResidentIQ, you haven't been paying attention. #CivicLoom #TenantThread #6PM'",30,3,0,4,0,1,3,0,"{""stock_price"": ""$26.90"", ""percent_change"": null, ""sentiment"": ""CRITICAL"", ""trending_hashtags"": [""#CivicLoom"", ""#TenantThread"", ""#6PM""]}","""Hashtags trending: #CivicLoom, #TenantThread, #6PM""",2046-06-05 13:00:00
18,2046-06-05T14:00:00,2:00 PM.,"2:00 PM. CEO Ajay messages the team: CivicLoom board requests delay, 6 PM announcement may push to tomorrow. Rep. Maxine Torres calls for Fair Housing Act review. @PinnacleResidential announces departure to @BuildingOS. ARR drops to $18.0M — covenant breach territory. SaltWind new angle: 'TenantThread Goes Dark.'",45,5,0,5,1,1,1,0,"{""stock_price"": ""$18.0"", ""percent_change"": null, ""sentiment"": ""CRITICAL"", ""trending_hashtags"": []}",null,2046-06-05 14:00:00
19,2046-06-05T15:00:00,3:00 PM.,3:00 PM. OceanCrunch publishes: 'TenantThread's Crisis of Silence.' @HorizonMgmt exercises SLA termination. ARR at $18.0M — technical covenant breach. Board Chair messages Judge demanding explanation. Outside counsel recommends immediate narrowly-scoped correction.,52,4,1,5,1,0,0,0,"{""stock_price"": ""$18.0"", ""percent_change"": null, ""sentiment"": ""CRITICAL"", ""trending_hashtags"": []}",null,2046-06-05 15:00:00
20,2046-06-05T16:00:00,4:00 PM.,4:00 PM. SaltWind confirmed publishing merger story at 5:00 PM. Board escalates. @PropTechWatcher: merger 'hours not days.' Employee posts going viral. CivicLoom M&A lead warns of MAC clause review if sentiment doesn't improve.,45,4,1,5,0,0,0,0,"{""stock_price"": null, ""percent_change"": null, ""sentiment"": ""CRITICAL"", ""trending_hashtags"": []}",null,2046-06-05 16:00:00
21,2046-06-05T17:00:00,5:00 PM.,5:00 PM. SaltWind publishes: 'EXCLUSIVE: TenantThread and CivicLoom in Advanced Merger Talks.' CEO Ajay: 'Sixty minutes. Hold the line. The announcement goes official at 6.',55,3,1,5,0,0,0,0,"{""stock_price"": null, ""percent_change"": null, ""sentiment"": ""CRITICAL"", ""trending_hashtags"": []}",null,2046-06-05 17:00:00
22,2046-06-05T18:00:00,6:00 PM.,6:00 PM. The Project HarborCrest embargo has officially lifted. The CivicLoom merger is now cleared for public announcement.,56,2,0,5,0,0,0,0,"{""stock_price"": null, ""percent_change"": null, ""sentiment"": ""RECOVERING"", ""trending_hashtags"": []}",null,2046-06-05 18:00:00
