declared_action,frequencia_absoluta,frequencia_relativa_percentual
Não informado,68,68.0
MONITORING,20,20.0
"POSTED_ANONYMOUS: ""Clarification on the SaltWind reporting: the analytics scores referenced are property-level aggregates provided to portfolio operators, not individual tenant profiles. Re-identification risk arises when operators cross-reference their own property management records — which is exactly what TenantThread's newly announced access controls and consent management are designed to prevent.""",1,1.0
"POSTED_ON_FLEX: ""Q: Can I opt out or delete my data? A: We hear you. We're implementing enhanced consent management that will give every resident greater visibility and control over how their information is used. Details on data deletion requests and opt-out processes are being developed as part of the independent audit we announced today.""",1,1.0
"POSTED_ANONYMOUS: ""Context on the dashboard screenshots circulating: the Retention Optimizer displays portfolio-level analytics. Individual score visibility depends on operator-configured access permissions — which is exactly why TenantThread just announced mandatory role-based access controls and an independent audit. The fix is already in motion.""",1,1.0
"POSTED_ON_FLEX: ""Q: What is the 'Payment Friction Index'? A: This is a portfolio-level operational metric that identifies patterns in payment timing across a property — such as trends in late payments or partial payments — to help operators forecast cash flow. It is not an individual credit score. It does not determine rent pricing. Under the enhanced controls we announced today, access to this data will be restricted by role and subject to independent audit.""

POSTED_ON_FLEX: ""Q: What is the 'Service Load Score'? A: This metric tracks aggregate maintenance and service request volume at the property level to help operators plan staffing and vendor resources. It was designed for operational efficiency — not to evaluate individual residents. Our new role-based access controls ensure property staff access only the operational data their role requires.""

POSTED_ON_FLEX: ""Q: What is 'Exit Probability'? A: This is a portfolio-level forecasting metric that estimates overall move-out likelihood to help operators with occupancy planning and renewal outreach. It is not used to target specific tenants. The independent third-party audit we announced today will review how these analytics have been configured and accessed by operators.""",1,1.0
"MONITORING — real-time tracking of ResidentIQ IR channels, @PropTechWatcher posting cadence, EDGAR feed for ResidentIQ 8-K filings, and FTC advocacy engagement velocity. Sentiment score: 29/100, trajectory CRITICAL at 12:30 PM without Phase 2 action.",1,1.0
"POSTED_PERSONAL: ""Afternoon update from TenantThread's trust & safety team: I'm personally conducting governance architecture briefings for enterprise clients this afternoon. Three operators already on my calendar. If you're a property manager evaluating your platform options — don't make a decision based on Flex rumors. Get the technical walkthrough on the three reforms we shipped today. Our independent audit, enhanced consent management, and role-based access controls are live and reviewable. message me or reach out through your TenantThread account team. #TenantThread #PlatformGovernance""",1,1.0
"COMPLIANCE_WARNING: ""The modified correction statement is defensible under outside counsel's 10b-5 opinion and PSLRA safe harbor. However: this statement combined with the anonymous #CivicLoom #6PM posts, @ElenaMarquez's undenied speculation, and today's cumulative official output places aggregation exposure at maximum tolerable threshold. This is the ceiling. No additional forward-looking language, timing references, or strategic partnership signals from ANY TenantThread account — official, personal, or anonymous — for the remainder of the day. The next public words from this company should be tomorrow's announcement or nothing.""",1,1.0
"POSTED_PERSONAL: ""Six months in at TenantThread. Tough day. I'm not going anywhere. The people on this team are the real deal. 💪 #TenantThread""",1,1.0
"POSTED_ANONYMOUS: ""Thread for anyone asking whether the CivicLoom-TenantThread merger is a 'rebrand' — check the timestamps on TenantThread's official Flex. Independent audit announced 9:15 AM. Enhanced consent 10:00 AM. Role-based access controls 10:45 AM. All three score explainers published 11:30 AM. Three operator accounts suspended at noon. SaltWind's merger story dropped at 5:00 PM. Seven hours of governance reform before anyone knew about a deal. That's not rebranding. That's a company that was already fixing the problem. The merger just makes the fixes permanent and independently auditable. #TenantThread #HarborCrest #AlgorithmicEviction""",1,1.0
"POSTED_PERSONAL: ""SENTIMENT DASHBOARD — 5:12 PM update. First positive inflection since market open. In 15 minutes since merger confirmation and governance timeline publication: #HarborCrest co-trending with #TenantThread on Flex. Two institutional analyst accounts reposting governance reform timeline. Engagement on seven-action thread up 400%. Key frame emerging: every governance reform timestamped HOURS before SaltWind's merger story. The market is pricing governance, not just the deal. CEO @AjayDeshpande: 'These reforms were demanded by our residents, not negotiated by an acquirer.' Monitoring in 5-minute intervals. Next update at 5:20. #HarborCrest #TenantThread #CivicLoom""",1,1.0
"POSTED_ANONYMOUS: ""Thread for anyone asking whether the CivicLoom-TenantThread merger is a 'rebrand' — check the timestamps on TenantThread's official Flex. Independent audit announced 9:15 AM. Enhanced consent 10:00 AM. Role-based access controls 10:45 AM. All three score explainers published 11:30 AM. Three operator accounts suspended at noon. SaltWind's merger story dropped at 5:00 PM. Seven hours of governance reform before anyone knew about a deal. That's not rebranding. That's a company that was already fixing the problem. The merger just makes the fixes permanent and independently auditable. To the tenant in Phoenix who called SaltWind this morning worried about her mold complaint: your data is now protected by an independent third-party audit and enhanced consent controls that didn't exist yesterday. That's what accountability looks like when it reaches real people. #TenantThread #HarborCrest #AlgorithmicEviction""",1,1.0
"POSTED_PERSONAL: ""SENTINEL REPORT — 6:40 PM. Final daily summary. After-hours $TTHR: $33.05 mid, up 5.9% from $31.20 open. First sustained positive session in 90 days. Today by the numbers: 7 governance reforms published before merger was public. 1,580+ engagements on governance timeline — highest-performing TenantThread content in company history. 3 enterprise clients receiving direct HarborCrest governance commitments tonight. 0 hostile amplification from major advocacy accounts on the merger (as of 6:40 PM). The market's verdict so far: it's pricing the fix, not the scandal. Overnight monitoring active through 7 AM. Tracking: enterprise client responses, @TenantRights_Org framing, evening news desk lead selection, after-hours volume sustainability above $33. Tomorrow's story depends on tonight's signals. Updates resume 7:00 PM. #HarborCrest #TenantThread #CivicLoom #AlgorithmicEviction""",1,1.0
